Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
17300;0,972386;59502,910296;291,119185;0,00000002068771109975;204,393642;30836,277133;295,219203;0,00000004437768374999
17400;0,972545;59344,515329;290,079913;0,00000002377365504458;204,579885;30760,899123;293,980301;0,00000004387800167649
17500;0,972702;59209,124605;289,078501;0,00000003597930486876;204,820229;30702,770416;292,774281;0,00000004605678860514
17600;0,972857;59117,969592;288,444216;0,00000002418317635033;204,954602;30677,462500;292,158089;0,00000004562441091593
17700;0,973010;59013,325087;288,137648;0,00000001692450624091;204,809492;30628,630216;292,089750;0,00000003813511995077
17800;0,973162;58917,503238;287,826820;0,00000002476054206113;204,697753;30567,435951;291,829196;0,00000003451266117338
17900;0,973312;58789,447518;287,752049;0,00000001184164943879;204,305922;30483,042858;292,094614;0,00000003043206042719
18000;0,973460;58623,080253;287,168071;0,00000000816145373506;204,142056;30368,203910;291,482990;0,00000002585336567051
18100;0,973607;58406,565174;286,677656;-0,00000000059742433223;203,736022;30236,804155;291,357621;0,00000002111256591775
18200;0,973752;58148,065815;285,249280;0,00000001123488857502;203,850000;30097,997556;289,717295;0,00000003416812077717
18300;0,973895;57916,254368;284,004844;0,00000002321610637068;203,926995;29984,899231;288,444708;0,00000004300925482426
18400;0,974037;57675,026118;283,252418;-0,00000000060700244831;203,617065;29851,672436;288,010297;0,00000004584824253584
18500;0,974178;57388,931912;281,931910;0,00000000263930033384;203,556000;29699,726629;286,700383;0,00000004871755621139
18600;0,974316;57098,896864;280,475037;0,00000000501611197024;203,579247;29549,793937;285,178317;0,00000004732679137476
18700;0,972203;56799,855897;279,646441;0,00000002277337074474;203,113102;29394,120690;284,929363;0,00000004971519018682
18800;0,969356;56497,734000;278,713730;0,00000004446954449122;202,708830;29237,771017;284,513927;0,00000004773195705354
18900;0,968924;56199,780091;277,285186;0,00000001580042052751;202,678624;29083,598116;283,100740;0,00000003398803372079
19000;0,968802;55905,248489;275,901048;0,00000002874674720488;202,627895;28931,163661;281,727676;0,00000002619506211943
19100;0,968807;55624,756726;274,004817;0,00000002315596958624;203,006492;28788,372079;279,311490;0,00000001719441300452
19200;0,968970;55397,767964;272,615631;0,00000003542364268583;203,208333;28676,458405;277,679546;0,00000001342608157984
19300;0,969131;55227,604600;270,508434;0,00000002231623952298;204,162228;28608,427428;274,480300;0,00000002059486803319
19400;0,969290;55165,034534;269,289692;0,00000004667131747738;204,853866;28626,609380;272,848421;0,00000001594820453477
19500;0,969447;55174,311821;268,795618;0,00000006267678642757;205,264923;28684,925901;272,336516;0,00000006405127628284
19600;0,969603;55230,106671;269,051018;0,00000007177898808663;205,277449;28759,489634;273,003553;0,00000006261100793381
19700;0,969758;55285,718634;269,269909;0,00000008671038642660;205,317107;28809,948333;273,389596;0,00000006656869899757
19800;0,969910;55369,605730;269,655645;0,00000007752842989817;205,334495;28868,451142;273,907873;0,00000006940273600264
19900;0,970061;55463,235992;270,114242;0,00000005872641040128;205,332513;28918,790691;274,394591;0,00000006470865088204
20000;0,970211;55535,141448;270,994606;0,00000006995474777227;204,930800;28946,394704;275,711591;0,00000006848148359495
20100;0,970359;55568,708824;271,497724;0,00000005934141711350;204,674677;28935,528438;276,293345;0,00000006706355648589
20200;0,970506;55575,260066;271,875325;0,00000007449217420685;204,414505;28894,903236;276,613442;0,00000007170515026189
20300;0,970651;55543,657789;272,375700;0,00000009549162882649;203,922956;28821,337928;277,217933;0,00000007393536094469
20400;0,970795;55433,834379;272,246515;0,00000010996797428220;203,616324;28715,434160;276,987541;0,00000006752468095783
20500;0,970938;55281,807629;271,563940;0,00000012881682920352;203,568293;28620,904529;276,213226;0,00000006192161094987
20600;0,971079;55109,854312;270,712132;0,00000013830173628548;203,573641;28528,882145;275,303458;0,00000006071320335366
20700;0,971219;54936,105163;269,626399;0,00000013140996912853;203,748986;28438,962294;273,963269;0,00000005943130432229
20800;0,971357;54795,076014;268,819664;0,00000013605752968715;203,835817;28380,984783;273,194153;0,00000005644691292161
20900;0,971494;54636,871057;268,610459;0,00000011036668112752;203,405598;28286,247410;273,410073;0,00000004963026256632
21000;0,971630;54423,494344;267,933310;0,00000010351018175925;203,123286;28159,864619;272,921308;0,00000005814511006008
21100;0,971764;54180,555819;266,691580;0,00000010608678380208;203,158104;28034,387962;271,634954;0,00000005530391078423
21200;0,971897;53932,686384;265,439809;0,00000008395879191880;203,182358;27905,739977;270,334891;0,00000005749551945655
21300;0,972029;53725,809065;263,893702;0,00000011354130791119;203,588826;27805,810489;268,320830;0,00000005868271202303
21400;0,972160;53538,323605;263,198609;0,00000011379127329292;203,414159;27707,456441;267,807305;0,00000006424460963217
21500;0,972289;53313,289757;262,412940;0,00000009209129814280;203,165628;27585,307402;267,259982;0,00000006566246746331
21600;0,972418;53071,573102;261,087989;0,00000009927973465551;203,270833;27460,443956;265,777668;0,00000006507143446299
21700;0,972545;52854,521819;259,693624;0,00000012716729713702;203,526452;27350,530970;264,060933;0,00000006088625070788
21800;0,972671;52678,790650;258,612936;0,00000015311438872345;203,697431;27267,033597;262,839767;0,00000007605749452466
21900;0,972796;52506,251221;258,012908;0,00000017330805235360;203,502420;27173,661748;262,418600;0,00000007141177249537
22000;0,972919;52311,432217;257,202777;0,00000015609528603022;203,385955;27068,457793;261,694193;0,00000007559623327325
22100;0,973042;52105,787100;256,020655;0,00000019058386868664;203,521810;26962,969439;260,329795;0,00000007769865639773
22200;0,973163;51910,632895;255,082612;0,00000022047128211966;203,505180;26861,511322;259,402470;0,00000007957345538046
22300;0,973284;51707,452952;254,092806;0,00000021941005812209;203,498296;26755,505583;258,392773;0,00000007326282869258
22400;0,973403;51520,535332;253,200881;0,00000022166953073111;203,476920;26661,111398;257,525188;0,00000006977239408457
22500;0,972374;51302,855498;252,561079;0,00000021534645355814;203,130489;26544,786195;257,257803;0,00000006440894395610
22600;0,971201;51075,860078;251,656839;0,00000020889175900152;202,958363;26427,335490;256,532322;0,00000006426259524517
22700;0,969633;50850,860869;250,821421;0,00000020111531640055;202,737313;26310,917507;255,959230;0,00000005761456023379
22800;0,967500;50627,833980;250,091075;0,00000018851740435366;202,437588;26195,519931;255,588796;0,00000005080031684201
22900;0,966152;50407,461586;249,180922;0,00000017287144515876;202,292620;26081,557291;254,839313;0,00000004257972641142
23000;0,966299;50216,652275;247,700959;0,00000018783241273468;202,730957;25987,879268;252,831179;0,00000004627971783577
23100;0,966445;50067,105416;246,949170;0,00000020508105436079;202,742554;25915,110578;252,097611;0,00000004346359716578
23200;0,966589;49902,982624;246,523846;0,00000021047802079011;202,426595;25821,726591;251,955308;0,00000004515120899384
23300;0,966043;49692,410335;245,695499;0,00000020973056535922;202,252017;25711,576035;251,321558;0,00000004435928957491
23400;0,966188;49492,407734;244,556261;0,00000020445256865287;202,376368;25608,609777;250,001343;0,00000004191872449155
23500;0,966332;49319,778436;243,382923;0,00000020714307780167;202,642723;25523,943197;248,531102;0,00000004318868640496
23600;0,966474;49183,460485;242,289277;0,00000018763433828894;202,994788;25461,693729;247,090620;0,00000004436052059020
23700;0,966616;49074,832670;241,731112;0,00000017252355632991;203,014135;25412,330137;246,574178;0,00000004588673974126
23800;0,966756;48971,329893;241,152526;0,00000019052508548612;203,072017;25357,101602;245,912194;0,00000003780249535623
23900;0,966895;48876,276855;240,581158;0,00000021164228769521;203,159205;25312,158062;245,270960;0,00000000898016061512
